"code","group","article","description"
"K50.00","1","A57736","Crohn's disease of small intestine without complications"
"K50.011","1","A57736","Crohn's disease of small intestine with rectal bleeding"
"K50.012","1","A57736","Crohn's disease of small intestine with intestinal obstruction"
"K50.013","1","A57736","Crohn's disease of small intestine with fistula"
"K50.014","1","A57736","Crohn's disease of small intestine with abscess"
"K50.018","1","A57736","Crohn's disease of small intestine with other complication"
"K50.019","1","A57736","Crohn's disease of small intestine with unspecified complications"
"K50.10","1","A57736","Crohn's disease of large intestine without complications"
"K50.111","1","A57736","Crohn's disease of large intestine with rectal bleeding"
"K50.112","1","A57736","Crohn's disease of large intestine with intestinal obstruction"
"K50.113","1","A57736","Crohn's disease of large intestine with fistula"
"K50.114","1","A57736","Crohn's disease of large intestine with abscess"
"K50.118","1","A57736","Crohn's disease of large intestine with other complication"
"K50.119","1","A57736","Crohn's disease of large intestine with unspecified complications"
"K50.80","1","A57736","Crohn's disease of both small and large intestine without complications"
"K50.811","1","A57736","Crohn's disease of both small and large intestine with rectal bleeding"
"K50.812","1","A57736","Crohn's disease of both small and large intestine with intestinal obstruction"
"K50.813","1","A57736","Crohn's disease of both small and large intestine with fistula"
"K50.814","1","A57736","Crohn's disease of both small and large intestine with abscess"
"K50.818","1","A57736","Crohn's disease of both small and large intestine with other complication"
"K50.819","1","A57736","Crohn's disease of both small and large intestine with unspecified complications"
"K50.90","1","A57736","Crohn's disease, unspecified, without complications"
"K50.911","1","A57736","Crohn's disease, unspecified, with rectal bleeding"
"K50.912","1","A57736","Crohn's disease, unspecified, with intestinal obstruction"
"K50.913","1","A57736","Crohn's disease, unspecified, with fistula"
"K50.914","1","A57736","Crohn's disease, unspecified, with abscess"
"K50.918","1","A57736","Crohn's disease, unspecified, with other complication"
"K52.0","1","A57736","Gastroenteritis and colitis due to radiation"
"K70.2","1","A57736","Alcoholic fibrosis and sclerosis of liver"
"K70.30","1","A57736","Alcoholic cirrhosis of liver without ascites"
"K70.31","1","A57736","Alcoholic cirrhosis of liver with ascites"
"K74.1","1","A57736","Hepatic sclerosis"
"K74.2","1","A57736","Hepatic fibrosis with hepatic sclerosis"
"K74.3","1","A57736","Primary biliary cirrhosis"
"K74.4","1","A57736","Secondary biliary cirrhosis"
"K74.5","1","A57736","Biliary cirrhosis, unspecified"
"K74.60","1","A57736","Unspecified cirrhosis of liver"
"K74.69","1","A57736","Other cirrhosis of liver"
"K76.9","1","A57736","Liver disease, unspecified"
"K83.5","1","A57736","Biliary cyst"
"K83.8","1","A57736","Other specified diseases of biliary tract"
"K85.00","1","A57736","Idiopathic acute pancreatitis without necrosis or infection"
"K85.01","1","A57736","Idiopathic acute pancreatitis with uninfected necrosis"
"K85.02","1","A57736","Idiopathic acute pancreatitis with infected necrosis"
"K85.10","1","A57736","Biliary acute pancreatitis without necrosis or infection"
"K85.11","1","A57736","Biliary acute pancreatitis with uninfected necrosis"
"K85.12","1","A57736","Biliary acute pancreatitis with infected necrosis"
"K85.20","1","A57736","Alcohol induced acute pancreatitis without necrosis or infection"
"K85.21","1","A57736","Alcohol induced acute pancreatitis with uninfected necrosis"
"K85.22","1","A57736","Alcohol induced acute pancreatitis with infected necrosis"
"K85.30","1","A57736","Drug induced acute pancreatitis without necrosis or infection"
"K85.31","1","A57736","Drug induced acute pancreatitis with uninfected necrosis"
"K85.32","1","A57736","Drug induced acute pancreatitis with infected necrosis"
"K85.80","1","A57736","Other acute pancreatitis without necrosis or infection"
"K85.81","1","A57736","Other acute pancreatitis with uninfected necrosis"
"K85.82","1","A57736","Other acute pancreatitis with infected necrosis"
"K85.90","1","A57736","Acute pancreatitis without necrosis or infection, unspecified"
"K85.91","1","A57736","Acute pancreatitis with uninfected necrosis, unspecified"
"K85.92","1","A57736","Acute pancreatitis with infected necrosis, unspecified"
"K86.0","1","A57736","Alcohol-induced chronic pancreatitis"
"K86.1","1","A57736","Other chronic pancreatitis"
"K86.2","1","A57736","Cyst of pancreas"
"K86.3","1","A57736","Pseudocyst of pancreas"
"K86.81","1","A57736","Exocrine pancreatic insufficiency"
"K86.89","1","A57736","Other specified diseases of pancreas"
"K90.0","1","A57736","Celiac disease"
"K90.1","1","A57736","Tropical sprue"
"K90.2","1","A57736","Blind loop syndrome, not elsewhere classified"
"K90.3","1","A57736","Pancreatic steatorrhea"
"K90.41","1","A57736","Non-celiac gluten sensitivity"
"K90.49","1","A57736","Malabsorption due to intolerance, not elsewhere classified"
"K90.821","1","A57736","Short bowel syndrome with colon in continuity"
"K90.822","1","A57736","Short bowel syndrome without colon in continuity"
"K90.89","1","A57736","Other intestinal malabsorption"
"K90.9","1","A57736","Intestinal malabsorption, unspecified"
"K91.2","1","A57736","Postsurgical malabsorption, not elsewhere classified"
"L40.0","1","A57736","Psoriasis vulgaris"
"L40.1","1","A57736","Generalized pustular psoriasis"
"L40.2","1","A57736","Acrodermatitis continua"
"L40.3","1","A57736","Pustulosis palmaris et plantaris"
"L40.4","1","A57736","Guttate psoriasis"
"L40.50","1","A57736","Arthropathic psoriasis, unspecified"
"L40.51","1","A57736","Distal interphalangeal psoriatic arthropathy"
"L40.52","1","A57736","Psoriatic arthritis mutilans"
"L40.53","1","A57736","Psoriatic spondylitis"
"L40.54","1","A57736","Psoriatic juvenile arthropathy"
"L40.59","1","A57736","Other psoriatic arthropathy"
"L40.8","1","A57736","Other psoriasis"
"L40.9","1","A57736","Psoriasis, unspecified"
"M80.011A","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
"M80.011D","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"
"M80.011G","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"
"M80.011K","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"
"M80.011P","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"
"M80.011S","1","A57736","Age-related osteoporosis with current pathological fracture, right shoulder, sequela"
"M80.012A","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
"M80.012D","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"
"M80.012G","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"
"M80.012K","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"
"M80.012P","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"
"M80.012S","1","A57736","Age-related osteoporosis with current pathological fracture, left shoulder, sequela"
"M80.021A","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture"
"M80.021D","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing"
"M80.021G","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with delayed healing"
"M80.021K","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with nonunion"
"M80.021P","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with malunion"
"M80.021S","1","A57736","Age-related osteoporosis with current pathological fracture, right humerus, sequela"
"M80.022A","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture"
"M80.022D","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with routine healing"
"M80.022G","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with delayed healing"
"M80.022K","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion"
"M80.022P","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion"
"M80.022S","1","A57736","Age-related osteoporosis with current pathological fracture, left humerus, sequela"
"M80.031A","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture"
"M80.031D","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with routine healing"
"M80.031G","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with delayed healing"
"M80.031K","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion"
"M80.031P","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion"
"M80.031S","1","A57736","Age-related osteoporosis with current pathological fracture, right forearm, sequela"
"M80.032A","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture"
"M80.032D","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing"
"M80.032G","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing"
"M80.032K","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion"
"M80.032P","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion"
"M80.032S","1","A57736","Age-related osteoporosis with current pathological fracture, left forearm, sequela"
"M80.041A","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture"
"M80.041D","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing"
"M80.041G","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing"
"M80.041K","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion"
"M80.041P","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion"
"M80.041S","1","A57736","Age-related osteoporosis with current pathological fracture, right hand, sequela"
"M80.042A","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture"
"M80.042D","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing"
"M80.042G","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing"
"M80.042K","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion"
"M80.042P","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion"
"M80.042S","1","A57736","Age-related osteoporosis with current pathological fracture, left hand, sequela"
"M80.051A","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
"M80.051D","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing"
"M80.051G","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing"
"M80.051K","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion"
"M80.051P","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion"
"M80.051S","1","A57736","Age-related osteoporosis with current pathological fracture, right femur, sequela"
"M80.052A","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
"M80.052D","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing"
"M80.052G","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing"
"M80.052K","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion"
"M80.052P","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion"
"M80.052S","1","A57736","Age-related osteoporosis with current pathological fracture, left femur, sequela"
"M80.061A","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture"
"M80.061D","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing"
"M80.061G","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing"
"M80.061K","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion"
"M80.061P","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion"
"M80.061S","1","A57736","Age-related osteoporosis with current pathological fracture, right lower leg, sequela"
"M80.062A","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture"
"M80.062D","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing"
"M80.062G","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing"
"M80.062K","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion"
"M80.062P","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion"
"M80.062S","1","A57736","Age-related osteoporosis with current pathological fracture, left lower leg, sequela"
"M80.071A","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture"
"M80.071D","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing"
"M80.071G","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing"
"M80.071K","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion"
"M80.071P","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion"
"M80.071S","1","A57736","Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela"
"M80.072A","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture"
"M80.072D","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing"
"M80.072G","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing"
"M80.072K","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion"
"M80.072P","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion"
"M80.072S","1","A57736","Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela"
"M80.08XA","1","A57736","Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
"M80.08XD","1","A57736","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"
